管中閔個人臉書帳號叫做什麼？,Kuan Kuan,CK Kuan,C.M.K,CM Kuan,3
萊爾富台大店學生優惠是幾折？,9,9.5,8,8.5,3
目前台大學生會會長是？,楊子昂,黃柏森,張承宇,凃峻清,2
下列哪個台大景點沒有校園傳說？,傅鐘,醉月湖,傅園,鹿鳴堂,3
現在計中列印電腦教室開到幾點？,pm 7:00,pm 8:00,pm 10:00,24小時,1
管中閔幾點的時候要同學們快去睡覺？,00:37,00:39,00:41,00:31,0
橄欖球球室在哪裏？,新體,舊體,水源校區,活大,1
心理系是什麽學院？,理學院,工學院,社科院,心理學院,0
前陣子被爆出作弊的科系是哪一個？,資管系,國企系,化工系,經濟系,2
請問加簽盛況最壯觀的是哪一堂課？,普通心理學,認識星空,醫學與生活,鋼琴作品與鑑賞,3
請問電機系的男女比是多少,05:01,07:01,09:01,11:01,2
管爺報時串的正確格式是？（以晚上10點半為例）,10:30,22:30,1030,2230,3
批踢踢的考古題版名稱為何？,NTU-Exam,NTU_Exam,NTU-Test,NTU_Test,0
2020年發生火災的是哪個學餐？,大一女,活大,女九,小福,0
台大政治系出了幾位總統？,0,1,2,3,0
